id,role,health,damage,speed,position,alive
0,WORKER,0,0,0,"{'x': 246, 'y': 116, 'direction': 270}",False
1,WORKER,85,10,3,"{'x': 135, 'y': 26, 'direction': 270}",True
2,WORKER,82,15,4,"{'x': 172, 'y': 80, 'direction': 180}",True
3,WORKER,104,10,3,"{'x': 98, 'y': 164, 'direction': 270}",True
4,WORKER,0,0,0,"{'x': 130, 'y': 48, 'direction': 90}",False
5,WORKER,0,0,0,"{'x': 244, 'y': 212, 'direction': 180}",False
6,WORKER,36,10,3,"{'x': 112, 'y': 193, 'direction': 0}",True
7,WORKER,0,0,0,"{'x': 119, 'y': 167, 'direction': 0}",False
8,WORKER,0,0,0,"{'x': 51, 'y': 53, 'direction': 270}",False
9,WORKER,28,10,3,"{'x': 241, 'y': 58, 'direction': 0}",True
10,WORKER,0,0,0,"{'x': 36, 'y': 150, 'direction': 270}",False
11,WORKER,0,0,0,"{'x': 223, 'y': 136, 'direction': 270}",False
12,WORKER,0,0,0,"{'x': 142, 'y': 46, 'direction': 270}",False
13,WORKER,80,10,3,"{'x': 76, 'y': 204, 'direction': 270}",True
14,WORKER,0,0,0,"{'x': 198, 'y': 194, 'direction': 180}",False
15,WORKER,51,10,3,"{'x': 124, 'y': 110, 'direction': 270}",True
16,WORKER,0,0,0,"{'x': 85, 'y': 65, 'direction': 0}",False
17,WORKER,0,0,0,"{'x': 34, 'y': 196, 'direction': 270}",False
18,WORKER,0,0,0,"{'x': 64, 'y': 39, 'direction': 0}",False
19,WORKER,57,10,3,"{'x': 152, 'y': 88, 'direction': 270}",True
20,WORKER,0,0,0,"{'x': 235, 'y': 172, 'direction': 0}",False
21,WORKER,68,10,3,"{'x': 246, 'y': 7, 'direction': 270}",True
22,WORKER,0,0,0,"{'x': 123, 'y': 193, 'direction': 180}",False
23,WORKER,64,15,4,"{'x': 162, 'y': 43, 'direction': 90}",True
24,WORKER,83,10,3,"{'x': 92, 'y': 193, 'direction': 180}",True
25,WORKER,0,0,0,"{'x': 234, 'y': 132, 'direction': 180}",False
26,WORKER,0,0,0,"{'x': 175, 'y': 196, 'direction': 0}",False
27,WORKER,0,0,0,"{'x': 226, 'y': 164, 'direction': 270}",False
28,WORKER,98,10,3,"{'x': 216, 'y': 24, 'direction': 0}",True
29,WORKER,0,0,0,"{'x': 213, 'y': 47, 'direction': 270}",False
30,WORKER,0,0,0,"{'x': 232, 'y': 112, 'direction': 270}",False
31,WORKER,75,10,3,"{'x': 64, 'y': 102, 'direction': 270}",True
32,WORKER,46,15,4,"{'x': 33, 'y': 174, 'direction': 180}",True
33,WORKER,51,10,3,"{'x': 60, 'y': 190, 'direction': 90}",True
34,WORKER,0,0,0,"{'x': 22, 'y': 104, 'direction': 270}",False
35,WORKER,0,0,0,"{'x': 39, 'y': 16, 'direction': 0}",False
36,WORKER,28,10,3,"{'x': 11, 'y': 25, 'direction': 270}",True
37,WORKER,0,0,0,"{'x': 186, 'y': 45, 'direction': 0}",False
38,WORKER,76,15,4,"{'x': 3, 'y': 79, 'direction': 270}",True
39,WORKER,0,0,0,"{'x': 38, 'y': 199, 'direction': 180}",False
40,WORKER,77,10,3,"{'x': 165, 'y': 26, 'direction': 90}",True
41,WORKER,76,15,4,"{'x': 175, 'y': 102, 'direction': 180}",True
42,WORKER,0,0,0,"{'x': 74, 'y': 76, 'direction': 0}",False
43,WORKER,107,10,3,"{'x': 162, 'y': 129, 'direction': 180}",True
44,WORKER,0,0,0,"{'x': 250, 'y': 111, 'direction': 270}",False
45,WORKER,0,0,0,"{'x': 202, 'y': 102, 'direction': 180}",False
46,WORKER,0,0,0,"{'x': 221, 'y': 70, 'direction': 90}",False
47,WORKER,0,0,0,"{'x': 39, 'y': 16, 'direction': 180}",False
48,WORKER,0,0,0,"{'x': 241, 'y': 96, 'direction': 0}",False
49,WORKER,55,10,3,"{'x': 254, 'y': 214, 'direction': 270}",True
50,WORKER,43,15,4,"{'x': 89, 'y': 64, 'direction': 270}",True
51,WORKER,60,10,3,"{'x': 216, 'y': 7, 'direction': 270}",True
52,WORKER,0,0,0,"{'x': 105, 'y': 2, 'direction': 270}",False
53,WORKER,0,0,0,"{'x': 77, 'y': 202, 'direction': 180}",False
54,WORKER,73,10,3,"{'x': 50, 'y': 0, 'direction': 180}",True
55,WORKER,7,10,3,"{'x': 41, 'y': 63, 'direction': 90}",True
56,WORKER,0,0,0,"{'x': 151, 'y': 201, 'direction': 180}",False
57,WORKER,29,10,3,"{'x': 5, 'y': 8, 'direction': 270}",True
58,WORKER,0,0,0,"{'x': 72, 'y': 67, 'direction': 90}",False
59,WORKER,65,15,4,"{'x': 12, 'y': 51, 'direction': 0}",True
60,WORKER,24,10,3,"{'x': 262, 'y': 52, 'direction': 90}",True
61,WORKER,0,0,0,"{'x': 68, 'y': 122, 'direction': 180}",False
62,WORKER,10,15,4,"{'x': 194, 'y': 198, 'direction': 90}",True
63,WORKER,69,10,3,"{'x': 249, 'y': 146, 'direction': 0}",True
64,SOLDIER,0,0,0,"{'x': 167, 'y': 153, 'direction': 90}",False
65,WORKER,0,0,0,"{'x': 106, 'y': 148, 'direction': 90}",False
66,WORKER,9,10,3,"{'x': 147, 'y': 41, 'direction': 180}",True
67,WORKER,26,10,3,"{'x': 117, 'y': 95, 'direction': 270}",True
68,WORKER,49,15,4,"{'x': 250, 'y': 111, 'direction': 270}",True
69,WORKER,83,10,3,"{'x': 24, 'y': 49, 'direction': 270}",True
70,WORKER,0,0,0,"{'x': 170, 'y': 182, 'direction': 270}",False
71,WORKER,0,0,0,"{'x': 183, 'y': 145, 'direction': 180}",False
72,WORKER,72,10,3,"{'x': 122, 'y': 101, 'direction': 0}",True
73,WORKER,26,10,3,"{'x': 123, 'y': 150, 'direction': 180}",True
74,WORKER,94,15,4,"{'x': 218, 'y': 27, 'direction': 270}",True
75,WORKER,0,0,0,"{'x': 114, 'y': 5, 'direction': 0}",False
76,WORKER,0,0,0,"{'x': 46, 'y': 113, 'direction': 90}",False
77,WORKER,0,0,0,"{'x': 55, 'y': 47, 'direction': 180}",False
78,WORKER,59,10,3,"{'x': 99, 'y': 206, 'direction': 90}",True
79,WORKER,95,10,3,"{'x': 229, 'y': 171, 'direction': 180}",True
80,WORKER,61,15,4,"{'x': 8, 'y': 196, 'direction': 90}",True
81,WORKER,0,0,0,"{'x': 73, 'y': 22, 'direction': 270}",False
82,WORKER,0,0,0,"{'x': 4, 'y': 197, 'direction': 270}",False
83,WORKER,0,0,0,"{'x': 113, 'y': 31, 'direction': 90}",False
84,WORKER,52,10,3,"{'x': 38, 'y': 200, 'direction': 0}",True
85,WORKER,16,10,3,"{'x': 105, 'y': 109, 'direction': 90}",True
86,WORKER,0,0,0,"{'x': 62, 'y': 56, 'direction': 180}",False
87,WORKER,68,10,3,"{'x': 55, 'y': 123, 'direction': 270}",True
88,WORKER,62,10,3,"{'x': 108, 'y': 78, 'direction': 270}",True
89,WORKER,112,15,4,"{'x': 103, 'y': 161, 'direction': 180}",True
90,WORKER,0,0,0,"{'x': 105, 'y': 213, 'direction': 270}",False
91,WORKER,85,10,3,"{'x': 128, 'y': 72, 'direction': 180}",True
92,WORKER,58,15,4,"{'x': 219, 'y': 199, 'direction': 0}",True
93,WORKER,0,0,0,"{'x': 213, 'y': 167, 'direction': 270}",False
94,WORKER,58,10,3,"{'x': 81, 'y': 189, 'direction': 0}",True
95,WORKER,0,0,0,"{'x': 160, 'y': 206, 'direction': 0}",False
96,SOLDIER,0,0,0,"{'x': 167, 'y': 154, 'direction': 0}",False
97,WORKER,0,0,0,"{'x': 34, 'y': 147, 'direction': 0}",False
98,WORKER,0,0,0,"{'x': 40, 'y': 137, 'direction': 90}",False
99,WORKER,0,0,0,"{'x': 175, 'y': 174, 'direction': 270}",False
100,WORKER,0,0,0,"{'x': 150, 'y': 93, 'direction': 90}",False
101,WORKER,106,15,4,"{'x': 76, 'y': 7, 'direction': 90}",True
102,WORKER,0,0,0,"{'x': 184, 'y': 169, 'direction': 0}",False
103,WORKER,1,10,3,"{'x': 26, 'y': 2, 'direction': 0}",True
104,WORKER,47,15,4,"{'x': 115, 'y': 92, 'direction': 270}",True
105,WORKER,0,0,0,"{'x': 245, 'y': 52, 'direction': 180}",False
106,WORKER,6,10,3,"{'x': 65, 'y': 109, 'direction': 180}",True
107,WORKER,0,0,0,"{'x': 9, 'y': 19, 'direction': 180}",False
108,WORKER,59,10,3,"{'x': 258, 'y': 6, 'direction': 0}",True
109,WORKER,0,0,0,"{'x': 189, 'y': 104, 'direction': 180}",False
110,WORKER,69,15,4,"{'x': 243, 'y': 76, 'direction': 0}",True
111,WORKER,0,0,0,"{'x': 98, 'y': 187, 'direction': 270}",False
112,WORKER,0,0,0,"{'x': 74, 'y': 76, 'direction': 270}",False
113,WORKER,0,0,0,"{'x': 92, 'y': 64, 'direction': 90}",False
114,QUEEN,90,40,1,"{'x': 36, 'y': 152, 'direction': 0}",True
115,QUEEN,90,40,1,"{'x': 168, 'y': 151, 'direction': 90}",True
116,WORKER,0,0,0,"{'x': 47, 'y': 137, 'direction': 0}",False
117,WORKER,0,0,0,"{'x': 56, 'y': 110, 'direction': 270}",False
118,WORKER,0,0,0,"{'x': 64, 'y': 128, 'direction': 0}",False
119,WORKER,0,0,0,"{'x': 56, 'y': 156, 'direction': 270}",False
120,WORKER,0,0,0,"{'x': 152, 'y': 126, 'direction': 270}",False
121,WORKER,20,15,4,"{'x': 213, 'y': 163, 'direction': 180}",True
122,WORKER,0,0,0,"{'x': 175, 'y': 196, 'direction': 180}",False
123,SOLDIER,0,0,0,"{'x': 106, 'y': 148, 'direction': 0}",False
124,WORKER,0,0,0,"{'x': 152, 'y': 126, 'direction': 270}",False
125,SOLDIER,55,22,6,"{'x': 213, 'y': 163, 'direction': 180}",True
126,WORKER,0,0,0,"{'x': 175, 'y': 196, 'direction': 180}",False
127,WORKER,0,0,0,"{'x': 106, 'y': 148, 'direction': 0}",False
128,WORKER,0,0,0,"{'x': 152, 'y': 126, 'direction': 270}",False
129,WORKER,57,15,4,"{'x': 213, 'y': 163, 'direction': 180}",True
130,WORKER,0,0,0,"{'x': 175, 'y': 196, 'direction': 180}",False
131,WORKER,0,0,0,"{'x': 106, 'y': 148, 'direction': 0}",False
132,WORKER,33,15,4,"{'x': 139, 'y': 157, 'direction': 0}",True
133,WORKER,0,0,0,"{'x': 163, 'y': 184, 'direction': 0}",False
134,WORKER,64,15,4,"{'x': 199, 'y': 71, 'direction': 180}",True
135,WORKER,0,0,0,"{'x': 146, 'y': 141, 'direction': 270}",False
